test	ic	split	mode	plotfile	log
1	0	x	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic0_uniform00862	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic0_uniform.log
1	0	x	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic0_amr00431	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic0_amr.log
1	1	y	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic1_uniform00862	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic1_uniform.log
1	1	y	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic1_amr00431	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic1_amr.log
1	2	diag	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic2_uniform00967	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic2_uniform.log
1	2	diag	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic2_amr00485	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic2_amr.log
2	0	x	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic0_uniform00525	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic0_uniform.log
2	0	x	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic0_amr00263	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic0_amr.log
2	1	y	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic1_uniform00525	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic1_uniform.log
2	1	y	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic1_amr00263	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic1_amr.log
2	2	diag	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic2_uniform00649	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic2_uniform.log
2	2	diag	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic2_amr00325	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic2_amr.log
3	0	x	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t3_ic0_uniform01041	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t3_ic0_uniform.log
3	0	x	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t3_ic0_amr00521	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t3_ic0_amr.log
3	1	y	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t3_ic1_uniform01041	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t3_ic1_uniform.log
3	1	y	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t3_ic1_amr00521	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t3_ic1_amr.log
3	2	diag	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t3_ic2_uniform01148	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t3_ic2_uniform.log
3	2	diag	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t3_ic2_amr00576	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t3_ic2_amr.log
4	0	x	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t4_ic0_uniform00960	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t4_ic0_uniform.log
4	0	x	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t4_ic0_amr00480	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t4_ic0_amr.log
4	1	y	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t4_ic1_uniform00960	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t4_ic1_uniform.log
4	1	y	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t4_ic1_amr00480	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t4_ic1_amr.log
4	2	diag	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t4_ic2_uniform01059	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t4_ic2_uniform.log
4	2	diag	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t4_ic2_amr00529	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t4_ic2_amr.log
5	0	x	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t5_ic0_uniform01412	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t5_ic0_uniform.log
5	0	x	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t5_ic0_amr00706	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t5_ic0_amr.log
5	1	y	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t5_ic1_uniform01412	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t5_ic1_uniform.log
5	1	y	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t5_ic1_amr00706	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t5_ic1_amr.log
5	2	diag	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t5_ic2_uniform01696	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t5_ic2_uniform.log
5	2	diag	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t5_ic2_amr00848	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t5_ic2_amr.log
